grupo,rodada,data,horario_et,horario_local,estadio,cidade,home_pt,away_pt,home_team,away_team,aprov_hist_home,aprov_hist_away,diff_aprov_hist,media_gols_pro_hist_home,media_gols_pro_hist_away,diff_media_gols_pro_hist,media_gols_contra_hist_home,media_gols_contra_hist_away,diff_media_gols_contra_hist,saldo_medio_hist_home,saldo_medio_hist_away,diff_saldo_medio_hist,partidas_hist_home,partidas_hist_away,diff_partidas_hist,ranking_home,ranking_away,diff_ranking,ranking_points_home,ranking_points_away,diff_ranking_points,ranking_available_home,ranking_available_away,fase_ordinal,fase_knockout,pred_home,pred_away,resultado_previsto,prob_home_win,home_win_previsto,classificacao_prevista
Grupo A,1ª Rodada,2026-06-11,15:00,13:00,Estadio Azteca,Cidade do México,México,África do Sul,Mexico,South Africa,0.35555555555555557,0.37037037037037035,-0.01481481481481478,1.0333333333333334,1.2222222222222223,-0.18888888888888888,1.6833333333333333,1.7777777777777777,-0.09444444444444433,-0.65,-0.5555555555555556,-0.09444444444444444,60,9,51,15.0,60.0,45.0,1681.03,1429.73,251.29999999999995,1,1,1,0,1.6124733590234286,0.8681995052997231,México vence,0.5935755517922106,1,México vence
Grupo A,1ª Rodada,2026-06-11,22:00,20:00,Estadio Akron,Guadalajara,Coreia do Sul,República Tcheca,South Korea,Czech Republic,0.2894736842105263,0.41414141414141414,-0.12466772993088782,1.0263157894736843,1.4242424242424243,-0.39792663476874,2.0526315789473686,1.4848484848484849,0.5677830940988837,-1.0263157894736843,-0.06060606060606061,-0.9657097288676237,38,33,5,25.0,41.0,16.0,1588.66,1501.38,87.27999999999997,1,1,1,0,1.1197798191571178,1.3176651822980117,República Tcheca vence,0.30454020964746725,0,Coreia do Sul não vence
Grupo B,1ª Rodada,2026-06-12,15:00,15:00,BMO Field,Toronto,Canadá,Bósnia,Canada,Bosnia,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,1.3333333333333333,-1.0,2.0,1.3333333333333333,0.6666666666666667,-1.6666666666666667,0.0,-1.6666666666666667,6,3,3,30.0,65.0,35.0,1556.48,1385.84,170.6400000000001,1,1,1,0,1.383508577811242,1.90845168324914,Bósnia vence,0.3938087579961437,0,Canadá não vence
Grupo D,1ª Rodada,2026-06-12,21:00,18:00,SoFi Stadium,Los Angeles,Estados Unidos,Paraguai,USA,Paraguay,0.5,0.4074074074074074,0.09259259259259262,0.0,1.1111111111111112,-1.1111111111111112,0.0,1.4074074074074074,-1.4074074074074074,0.0,-0.2962962962962963,0.2962962962962963,0,27,-27,16.0,40.0,24.0,1673.13,1503.5,169.6300000000001,1,1,1,0,1.4933500327061102,1.3958533595534874,Estados Unidos vence,0.3346600073288024,0,Estados Unidos não vence
Grupo C,1ª Rodada,2026-06-13,21:00,21:00,Gillette Stadium,Boston,Haiti,Escócia,Haiti,Scotland,0.0,0.2753623188405797,-0.2753623188405797,0.6666666666666666,1.0869565217391304,-0.42028985507246375,4.666666666666667,1.7826086956521738,2.884057971014493,-4.0,-0.6956521739130435,-3.3043478260869565,3,23,-20,83.0,43.0,-40.0,1291.71,1498.35,-206.63999999999987,1,1,1,0,0.8964658190894594,2.4865854787029704,Escócia vence,0.11121534595711698,0,Haiti não vence
Grupo D,1ª Rodada,2026-06-13,00:00,21:00,BC Place,Vancouver,Austrália,Turquia,Australia,Turkey,0.26666666666666666,0.5333333333333333,-0.26666666666666666,0.85,2.0,-1.15,1.85,1.7,0.15000000000000013,-1.0,0.3,-1.3,20,10,10,27.0,22.0,-5.0,1580.67,1599.04,-18.36999999999989,1,1,1,0,1.2046966410178288,2.030711865108878,Turquia vence,0.4007682184869954,0,Austrália não vence
Grupo C,1ª Rodada,2026-06-13,18:00,18:00,MetLife Stadium,Nova York / Nova Jersey,Brasil,Marrocos,Brazil,Morocco,0.7339181286549707,0.34782608695652173,0.386092041698449,2.0789473684210527,0.8695652173913043,1.2093821510297484,0.9473684210526315,1.173913043478261,-0.22654462242562945,1.131578947368421,-0.30434782608695654,1.4359267734553776,114,23,91,6.0,8.0,2.0,1761.16,1755.87,5.290000000000191,1,1,1,0,1.4209806346348934,0.0,Brasil vence,0.6471357311358821,1,Brasil vence
Grupo B,1ª Rodada,2026-06-13,15:00,12:00,Levi's Stadium,Área da Baía de São Francisco,Catar,Suíça,Qatar,Switzerland,0.0,0.3983739837398374,-0.3983739837398374,0.3333333333333333,1.3414634146341464,-1.0081300813008132,2.3333333333333335,1.7804878048780488,0.5528455284552847,-2.0,-0.43902439024390244,-1.5609756097560976,3,41,-38,55.0,19.0,-36.0,1454.96,1649.4,-194.44000000000005,1,1,1,0,0.5342042832167893,2.206320286948762,Suíça vence,0.11042081141447967,0,Catar não vence
Grupo E,1ª Rodada,2026-06-14,19:00,19:00,Lincoln Financial Field,Filadélfia,Costa do Marfim,Equador,Cote d'Ivoire,Ecuador,0.37037037037037035,0.4358974358974359,-0.06552706552706555,1.4444444444444444,1.0769230769230769,0.36752136752136755,1.5555555555555556,1.0769230769230769,0.4786324786324787,-0.1111111111111111,0.0,-0.1111111111111111,9,13,-4,34.0,23.0,-11.0,1532.98,1594.78,-61.799999999999955,1,1,1,0,1.5297916281392554,1.7250596646799214,Equador vence,0.4195120490750235,0,Costa do Marfim não vence
Grupo E,1ª Rodada,2026-06-14,13:00,12:00,NRG Stadium,Houston,Alemanha,Curaçao,Germany,Curacao,0.6780626780626781,0.5,0.17806267806267806,2.017094017094017,0.0,2.017094017094017,1.1538461538461537,0.0,1.1538461538461537,0.8632478632478633,0.0,0.8632478632478633,117,0,117,10.0,82.0,72.0,1730.37,1294.65,435.7199999999998,1,1,1,0,1.9617964122187008,0.0,Alemanha vence,0.831522417686139,1,Alemanha vence
