rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,France,FRA,1877.32,1870.0,2,UEFA,2026-04-01
2,Spain,ESP,1876.4,1877.18,-1,UEFA,2026-04-01
3,Argentina,ARG,1874.81,1873.33,-1,CONMEBOL,2026-04-01
4,England,ENG,1825.97,1834.12,0,UEFA,2026-04-01
5,Portugal,POR,1763.83,1760.38,1,UEFA,2026-04-01
6,Brazil,BRA,1761.16,1760.46,-1,CONMEBOL,2026-04-01
7,Netherlands,NED,1757.87,1756.27,0,UEFA,2026-04-01
8,Morocco,MAR,1755.87,1736.57,0,CAF,2026-04-01
9,Belgium,BEL,1734.71,1730.71,0,UEFA,2026-04-01
10,Germany,GER,1730.37,1724.15,0,UEFA,2026-04-01
11,Croatia,CRO,1717.07,1716.88,0,UEFA,2026-04-01
12,Italy,ITA,1700.37,1702.06,1,UEFA,2026-04-01
13,Colombia,COL,1693.09,1701.3,1,CONMEBOL,2026-04-01
14,Senegal,SEN,1688.99,1706.83,-2,CAF,2026-04-01
15,Mexico,MEX,1681.03,1675.75,1,CONCACAF,2026-04-01
16,USA,USA,1673.13,1681.88,-1,CONCACAF,2026-04-01
17,Uruguay,URU,1673.07,1672.62,0,CONMEBOL,2026-04-01
18,Japan,JPN,1660.43,1650.12,1,AFC,2026-04-01
19,Switzerland,SUI,1649.4,1654.69,-1,UEFA,2026-04-01
20,Denmark,DEN,1620.81,1616.75,1,UEFA,2026-04-01
21,IR Iran,IRN,1615.3,1617.02,-1,AFC,2026-04-01
22,Türkiye,TUR,1599.04,1582.69,3,UEFA,2026-04-01
23,Ecuador,ECU,1594.78,1591.73,0,CONMEBOL,2026-04-01
24,Austria,AUT,1593.45,1585.51,0,UEFA,2026-04-01
25,Korea Republic,KOR,1588.66,1599.45,-3,AFC,2026-04-01
26,Nigeria,NGA,1585.09,1581.55,0,CAF,2026-04-01
27,Australia,AUS,1580.67,1574.01,0,AFC,2026-04-01
28,Algeria,ALG,1564.26,1560.91,0,CAF,2026-04-01
29,Egypt,EGY,1563.24,1556.71,2,CAF,2026-04-01
30,Canada,CAN,1556.48,1559.15,-1,CONCACAF,2026-04-01
31,Norway,NOR,1550.94,1553.14,1,UEFA,2026-04-01
32,Ukraine,UKR,1546.88,1557.47,-2,UEFA,2026-04-01
33,Panama,PAN,1540.64,1539.47,0,CONCACAF,2026-04-01
34,Côte d'Ivoire,CIV,1532.98,1522.48,3,CAF,2026-04-01
35,Poland,POL,1528.0,1532.04,-1,UEFA,2026-04-01
36,Russia,RUS,1525.6,1524.52,0,UEFA,2026-04-01
37,Wales,WAL,1524.29,1529.71,-2,UEFA,2026-04-01
38,Sweden,SWE,1514.77,1487.13,4,UEFA,2026-04-01
39,Serbia,SRB,1508.65,1506.34,0,UEFA,2026-04-01
40,Paraguay,PAR,1503.5,1501.5,0,CONMEBOL,2026-04-01
41,Czechia,CZE,1501.38,1487.0,2,UEFA,2026-04-01
42,Hungary,HUN,1500.58,1496.29,-1,UEFA,2026-04-01
43,Scotland,SCO,1498.35,1506.77,-5,UEFA,2026-04-01
44,Tunisia,TUN,1483.05,1479.04,3,CAF,2026-04-01
45,Cameroon,CMR,1481.24,1482.39,0,CAF,2026-04-01
46,Congo DR,COD,1478.35,1468.22,2,CAF,2026-04-01
47,Greece,GRE,1475.82,1480.38,-1,UEFA,2026-04-01
48,Slovakia,SVK,1473.94,1485.65,-4,UEFA,2026-04-01
49,Venezuela,VEN,1468.05,1465.22,1,CONMEBOL,2026-04-01
50,Uzbekistan,UZB,1465.34,1462.03,2,AFC,2026-04-01
51,Costa Rica,CRC,1459.9,1464.24,0,CONCACAF,2026-04-01
52,Mali,MLI,1459.13,1458.48,2,CAF,2026-04-01
53,Peru,PER,1455.87,1459.57,0,CONMEBOL,2026-04-01
54,Chile,CHI,1455.28,1457.84,1,CONMEBOL,2026-04-01
55,Qatar,QAT,1454.96,1454.96,1,AFC,2026-04-01
56,Romania,ROU,1451.16,1465.78,-7,UEFA,2026-04-01
57,Iraq,IRQ,1447.14,1436.94,1,AFC,2026-04-01
58,Slovenia,SVN,1446.44,1447.31,-1,UEFA,2026-04-01
59,Republic of Ireland,IRL,1436.63,1436.04,0,UEFA,2026-04-01
60,South Africa,RSA,1429.73,1432.76,0,CAF,2026-04-01
61,Saudi Arabia,KSA,1421.43,1429.48,0,AFC,2026-04-01
62,Burkina Faso,BFA,1412.49,1412.79,0,CAF,2026-04-01
63,Jordan,JOR,1391.45,1388.93,1,AFC,2026-04-01
64,Albania,ALB,1388.06,1401.07,-1,UEFA,2026-04-01
65,Bosnia and Herzegovina,BIH,1385.84,1362.37,6,UEFA,2026-04-01
66,Honduras,HON,1380.27,1379.54,-1,CONCACAF,2026-04-01
67,North Macedonia,MKD,1372.04,1378.57,-1,UEFA,2026-04-01
68,United Arab Emirates,UAE,1370.47,1370.47,0,AFC,2026-04-01
69,Cabo Verde,CPV,1366.13,1370.49,-2,CAF,2026-04-01
70,Northern Ireland,NIR,1362.16,1366.02,-1,UEFA,2026-04-01
71,Jamaica,JAM,1358.0,1362.46,-1,CONCACAF,2026-04-01
72,Georgia,GEO,1350.18,1347.88,1,UEFA,2026-04-01
73,Finland,FIN,1346.41,1341.81,2,UEFA,2026-04-01
74,Ghana,GHA,1346.31,1351.09,-2,CAF,2026-04-01
75,Iceland,ISL,1345.07,1344.72,-1,UEFA,2026-04-01
76,Bolivia,BOL,1329.42,1330.52,0,CONMEBOL,2026-04-01
77,Israel,ISR,1328.33,1328.14,0,UEFA,2026-04-01
78,Kosovo,KOS,1318.83,1308.84,1,UEFA,2026-04-01
79,Oman,OMA,1313.46,1313.46,-1,AFC,2026-04-01
80,Guinea,GUI,1300.01,1307.05,0,CAF,2026-04-01
81,Montenegro,MNE,1295.52,1297.09,1,UEFA,2026-04-01
82,Curaçao,CUW,1294.65,1302.7,-1,CONCACAF,2026-04-01
83,Haiti,HAI,1291.71,1294.49,0,CONCACAF,2026-04-01
84,Syria,SYR,1288.56,1282.62,0,AFC,2026-04-01
85,New Zealand,NZL,1281.57,1279.25,0,OFC,2026-04-01
86,Bulgaria,BUL,1278.9,1272.19,1,UEFA,2026-04-01
87,Gabon,GAB,1272.51,1276.28,-1,CAF,2026-04-01
88,Uganda,UGA,1264.09,1264.09,0,CAF,2026-04-01
89,Angola,ANG,1263.1,1263.1,0,CAF,2026-04-01
90,Benin,BEN,1258.98,1250.05,2,CAF,2026-04-01
91,Bahrain,BHR,1258.53,1258.53,-1,AFC,2026-04-01
92,Zambia,ZAM,1255.82,1256.68,-1,CAF,2026-04-01
93,Thailand,THA,1252.14,1243.27,3,AFC,2026-04-01
94,China PR,CHN,1251.6,1249.06,-1,AFC,2026-04-01
95,Palestine,PLE,1244.73,1244.73,0,AFC,2026-04-01
96,Guatemala,GUA,1243.47,1245.77,-2,CONCACAF,2026-04-01
97,Belarus,BLR,1235.82,1227.09,1,UEFA,2026-04-01
98,Luxembourg,LUX,1227.77,1218.91,4,UEFA,2026-04-01
99,Vietnam,VIE,1225.68,1189.51,9,AFC,2026-04-01
100,El Salvador,SLV,1225.26,1226.65,-1,CONCACAF,2026-04-01
101,Mozambique,MOZ,1224.31,1224.31,0,CAF,2026-04-01
102,Trinidad and Tobago,TRI,1222.94,1227.32,-5,CONCACAF,2026-04-01
103,Tajikistan,TJK,1221.78,1224.93,-3,AFC,2026-04-01
104,Madagascar,MAD,1203.76,1198.87,0,CAF,2026-04-01
105,Equatorial Guinea,EQG,1195.2,1190.01,2,CAF,2026-04-01
106,Armenia,ARM,1191.42,1196.08,-1,UEFA,2026-04-01
107,Kyrgyz Republic,KGZ,1191.14,1201.22,-4,AFC,2026-04-01
108,Lebanon,LBN,1187.96,1187.96,1,AFC,2026-04-01
109,Comoros,COM,1187.91,1193.49,-3,CAF,2026-04-01
110,Kazakhstan,KAZ,1182.96,1173.0,4,UEFA,2026-04-01
111,Kenya,KEN,1182.23,1179.54,2,CAF,2026-04-01
112,Libya,LBY,1182.08,1183.06,0,CAF,2026-04-01
113,Tanzania,TAN,1180.27,1186.14,-3,CAF,2026-04-01
114,Niger,NIG,1179.66,1185.09,-3,CAF,2026-04-01
115,Mauritania,MTN,1170.72,1171.35,0,CAF,2026-04-01
116,The Gambia,GAM,1160.38,1161.55,0,CAF,2026-04-01
117,Sudan,SDN,1157.22,1157.22,0,CAF,2026-04-01
118,Korea DPR,PRK,1151.05,1151.05,1,AFC,2026-04-01
119,Sierra Leone,SLE,1148.98,1149.1,1,CAF,2026-04-01
120,Namibia,NAM,1148.84,1153.22,-2,CAF,2026-04-01
121,Togo,TOG,1147.31,1140.35,3,CAF,2026-04-01
122,Indonesia,IDN,1144.88,1144.73,0,AFC,2026-04-01
123,Faroe Islands,FRO,1137.14,1135.42,2,UEFA,2026-04-01
124,Azerbaijan,AZE,1136.67,1132.97,3,UEFA,2026-04-01
125,Suriname,SUR,1132.43,1140.54,-2,CONCACAF,2026-04-01
126,Cyprus,CYP,1128.33,1128.5,2,UEFA,2026-04-01
127,Malawi,MWI,1128.03,1133.75,-1,CAF,2026-04-01
128,Rwanda,RWA,1126.62,1117.78,2,CAF,2026-04-01
129,Estonia,EST,1121.1,1123.11,0,UEFA,2026-04-01
130,Zimbabwe,ZIM,1118.12,1113.61,2,CAF,2026-04-01
131,Nicaragua,NCA,1115.13,1116.86,0,CONCACAF,2026-04-01
132,Guinea-Bissau,GNB,1108.38,1108.09,1,CAF,2026-04-01
133,Congo,CGO,1105.96,1105.96,1,CAF,2026-04-01
134,Kuwait,KUW,1105.1,1105.1,1,AFC,2026-04-01
135,Philippines,PHI,1094.1,1090.95,1,AFC,2026-04-01
136,India,IND,1091.03,1079.52,5,AFC,2026-04-01
137,Latvia,LVA,1090.57,1082.68,2,UEFA,2026-04-01
138,Malaysia,MAS,1086.22,1145.89,-17,AFC,2026-04-01
139,Central African Republic,CTA,1083.57,1083.57,-1,CAF,2026-04-01
140,Liberia,LBR,1079.02,1081.46,0,CAF,2026-04-01
141,Turkmenistan,TKM,1078.65,1087.52,-4,AFC,2026-04-01
142,Burundi,BDI,1078.01,1060.22,3,CAF,2026-04-01
143,Dominican Republic,DOM,1077.95,1077.49,-1,CONCACAF,2026-04-01
144,Ethiopia,ETH,1071.55,1055.36,3,CAF,2026-04-01
145,Lesotho,LES,1067.13,1065.97,-2,CAF,2026-04-01
146,Botswana,BOT,1063.63,1062.42,-2,CAF,2026-04-01
147,Singapore,SGP,1059.53,1050.35,1,AFC,2026-04-01
148,Lithuania,LTU,1058.42,1056.34,-2,UEFA,2026-04-01
149,Yemen,YEM,1049.49,1049.49,0,AFC,2026-04-01
150,Guyana,GUY,1049.32,1041.9,1,CONCACAF,2026-04-01
151,New Caledonia,NCL,1036.95,1042.62,-1,OFC,2026-04-01
152,St Kitts and Nevis,SKN,1036.33,1035.25,2,CONCACAF,2026-04-01
153,Solomon Islands,SOL,1031.89,1039.86,-1,OFC,2026-04-01
154,Fiji,FIJ,1029.7,1029.7,1,OFC,2026-04-01
155,"Hong Kong, China",HKG,1026.63,1038.14,-2,AFC,2026-04-01
156,Puerto Rico,PUR,1026.11,1020.07,0,CONCACAF,2026-04-01
157,Tahiti,TAH,1019.04,1019.04,0,OFC,2026-04-01
158,Myanmar,MYA,1011.88,990.81,5,AFC,2026-04-01
159,Moldova,MDA,1004.16,1012.64,-1,UEFA,2026-04-01
160,Vanuatu,VAN,997.01,997.01,0,OFC,2026-04-01
161,Malta,MLT,987.73,996.59,0,UEFA,2026-04-01
162,Antigua and Barbuda,ATG,986.58,986.58,3,CONCACAF,2026-04-01
163,Grenada,GRN,982.57,989.59,1,CONCACAF,2026-04-01
164,Cuba,CUB,981.42,980.49,2,CONCACAF,2026-04-01
165,Eswatini,SWZ,979.01,1010.52,-6,CAF,2026-04-01
